benchmark,seed,hv,igd,gd,spacing,archive_size,nfe,runtime_seconds
ZDT1,1,0.8684098147825157,0.004784965231772964,0.0029428101739771622,0.0021702375918122344,100,25100,23.754669542000002
ZDT1,2,0.8670465605824317,0.005398760740371077,0.0036874438278833013,0.002388464464492653,100,25100,22.753318290999996
ZDT1,3,0.8685993939761467,0.004654453403389176,0.0026971540927686554,0.0025360622839059395,100,25100,23.393325209000004
ZDT1,4,0.8678448531215313,0.005037869583901847,0.0031945889841579513,0.0022084877688376366,100,25100,24.286827540999994
ZDT1,5,0.8679399710919354,0.005014626220466794,0.0031281804711459594,0.00215803572860011,100,25100,24.124028417000005
ZDT1,6,0.8682599926886105,0.004901878448631437,0.002811876166068938,0.0022419730084096,100,25100,23.213826666999992
ZDT1,7,0.8690020453275191,0.004596393314756016,0.002400269577279162,0.0024876962221769125,100,25100,24.239050125000006
ZDT1,8,0.8683916714151939,0.004834158799846475,0.0027723631250339167,0.0024062145455393063,100,25100,23.838287958000024
ZDT1,9,0.8685529729815474,0.0047632864708232955,0.002905574195731257,0.0021158126131127085,100,25100,24.808562499999994
ZDT1,10,0.8693185817931662,0.004447364307245049,0.0024806562907441023,0.002281666753331184,100,25100,24.238895999999983
ZDT2,1,0.5357343669383733,0.00436853496306302,0.0018302364847973141,0.0023627974154334574,100,25100,23.426451291999996
ZDT2,2,0.5344970233955975,0.004833277386978492,0.0026324467273152632,0.0021290149216045677,100,25100,23.277315457999975
ZDT2,3,0.5351893187993771,0.004566333086982918,0.002281056166954115,0.0019777016016241464,100,25100,22.039243166999995
ZDT2,4,0.5353392501319817,0.004569497417657213,0.002198174742932964,0.0021265169784019065,100,25100,22.00415345900001
ZDT2,5,0.5352444212758423,0.004558927436860649,0.002277952938168699,0.002210814913895786,100,25100,23.061195082999973
ZDT2,6,0.5354387491234684,0.004663082702375569,0.0022674378146703964,0.002884198636220492,100,25100,23.447108707999973
ZDT2,7,0.5350575581253523,0.004660313559492439,0.002426402284856162,0.0024355359837237712,100,25100,23.368323250000003
ZDT2,8,0.5356261997949439,0.0044335771134496405,0.0019010641853459383,0.0023365468597366518,100,25100,23.170617125000035
ZDT2,9,0.5351943772368121,0.004649468481556052,0.0024767540416547958,0.00203449315293764,100,25100,23.265420957999993
ZDT2,10,0.5349205868248191,0.004725445076502418,0.0023063091996953227,0.0027851938697455,100,25100,23.089666832999967
ZDT3,1,1.3234946795789986,0.005262667324356427,0.002369589365545994,0.0033035401609021135,100,25100,23.804573084000026
ZDT3,2,1.323729351517716,0.005353055123517473,0.002528884162507707,0.003566863469464658,100,25100,23.95171029200003
ZDT3,3,1.3234604084694168,0.005407156529883619,0.0024700800830600956,0.0037348672583593758,100,25100,23.85333079199995
ZDT3,4,1.324847667514379,0.005022191370609517,0.0018017103822228642,0.0031725350016619707,100,25100,24.86509787500006
ZDT3,5,1.3239857392702878,0.00523445643773215,0.0018624630307848518,0.0031368285777133406,100,25100,23.882652458000052
ZDT3,6,1.3245298079478698,0.005337532046071404,0.002285849515969524,0.004310979340708581,100,25100,24.113988459000097
ZDT3,7,1.241912368948596,0.06102113320920367,0.001959930766270255,0.003052161632110926,100,25100,24.639936334000026
ZDT3,8,1.323613868796737,0.00535100660612655,0.0020972618360186597,0.0033585067500310154,100,25100,23.81113829200001
ZDT3,9,1.325107341735627,0.0051469401378210055,0.0015915282787870696,0.0038098749782258866,100,25100,24.558995208000056
ZDT3,10,1.3231114570887574,0.005273389997599986,0.002474429942634063,0.0031947943590429793,100,25100,24.058896708999896
ZDT4,1,0.0,2.5668497476262124,3.029061171506691,0.022763334296524582,100,25100,14.173565584000016
ZDT4,2,0.0,3.3223919476981627,3.8099218872737337,0.10601611275994868,100,25100,14.065544917000011
ZDT4,3,0.0,4.978155719743859,7.2876215406632125,3.13491965546572,100,25100,14.18383437500006
ZDT4,4,0.0,3.1116896240157006,3.364840032161685,0.05564068394148206,100,25100,14.219001625000033
ZDT4,5,0.0,3.085712954372179,3.2472165439220366,0.027264831560467793,100,25100,14.27233524999997
ZDT4,6,0.0,4.77485364598326,4.982304133230021,0.024151759480917186,100,25100,14.072744415999978
ZDT4,7,0.0,3.6791268254416654,5.362692971710223,2.3948805891136566,100,25100,14.241891416000044
ZDT4,8,0.0,3.0682646544384062,3.676670359906772,0.08776685176701514,100,25100,14.447152582999934
ZDT4,9,0.0,5.019975406795207,6.375568624903318,0.043037575711837535,100,25100,13.816989917
ZDT4,10,0.0,8.805419022447524,9.987863304109895,0.0334394486672536,100,25100,14.028170915999908
ZDT6,1,0.4933529268759541,0.009004698511922968,0.008405880912216864,0.002019296894107692,100,25100,18.184520041999917
ZDT6,2,0.4920898584474465,0.009693860715201027,0.009133262653988838,0.0019209253286656533,100,25100,18.310620665999977
ZDT6,3,0.4899329260495618,0.011367570509244482,0.011006667630771683,0.0020012711644675466,100,25100,18.333440333999988
ZDT6,4,0.49020951059964457,0.010967941353063993,0.010516965752289045,0.001767920839881646,100,25100,18.198469208999995
ZDT6,5,0.49200766289785386,0.009817917902939179,0.010061997596646832,0.0023183393024132494,100,25100,18.753484957999945
ZDT6,6,0.49058094465365787,0.010772264075748628,0.010236889808489053,0.0018561736664579277,100,25100,18.393119583000043
ZDT6,7,0.4917401725695327,0.010017605195233294,0.009475537944821732,0.0017067489532983904,100,25100,18.521733749999953
ZDT6,8,0.4917765921601786,0.010000079458140586,0.010326903891961996,0.0021052873681324173,100,25100,18.59830095899997
ZDT6,9,0.49286629319563413,0.009193785318549873,0.00863553131398187,0.0016078091559377189,100,25100,18.498352416000102
ZDT6,10,0.4931852206366869,0.009043174374159066,0.00838355700368058,0.002050993025773281,100,25100,18.93650541599993
